video_id,video_title,channel_title,channel_id,thumbnail_url,view_cnt,body_part
_X_WGYIoIK0,"마른사람이 꼭 해야될 등운동 2가지(기초편)ㅣ등근육 원리 배우기ㅣ",메루치양식장_체중증량TV,UCLEj7hex0zMo34cFVDM5g2g,https://i.ytimg.com/vi/_X_WGYIoIK0/default.jpg,0,등
_xZV_1oAk_Y,"최고의 전신운동! 케틀벨 스윙 제대로 배워보자!",몸트TV,UCdyw9n2TAaCSASHxM3Zwzpw,https://i.ytimg.com/vi/_xZV_1oAk_Y/default.jpg,0,전신
_YmWBs4HJcw,"짧고 굵게 11자 복근운동 | 설명포함 | 고강도 | 6분 30초 | 휴식없음 | 슬기로운바디","슬기로운바디Wise Body",UCMSRLNjMvx2gEIO4dYAsjlQ,https://i.ytimg.com/vi/_YmWBs4HJcw/default.jpg,0,복부
_zK3OSsH-wc,"누워서하는 8분 복부운동!! 효과보장! 최고의 복근운동!! (허리가 아프지 않는 운동) abs workout","혜진언니 Jin's Fit",UCgNXbwqDng8yNt7OxNYA7Rg,https://i.ytimg.com/vi/_zK3OSsH-wc/default.jpg,0,복부
-_iaW_WsbLM,"초,중,상급자를 위한 레전드의 가슴운동 루틴","김명섭의 헬스교실",UCc5mVNF4R6ywMqbty91J0rQ,https://i.ytimg.com/vi/-_iaW_WsbLM/default.jpg,0,가슴
--G0wNmGCi0,"대부분의 보디빌더가 &#39;윗가슴&#39; 운동을 선행하는 이유!? (데릭 런스포드, 근막 확장 훈련, 하니 램보드)","오늘의 머슬한입",UCt1IY1PhDixsM_DE8-ffrSw,https://i.ytimg.com/vi/--G0wNmGCi0/default.jpg,0,가슴
-2A1HFr5lB4,"컨디션 안좋은날 등운동 FULL 루틴🔥 / 이준호 /IFBBPRO / 피지크","이준호의 레즈고TV",UC58Y987SyTA1taJLvFbzuog,https://i.ytimg.com/vi/-2A1HFr5lB4/default.jpg,0,등
-3Oixv4JVDM,"초보자도 따라할수있는 &#39;개꿀&#39; 복근운동","김강민_Kim Kang min",UCjGoJbTmFYjd5OnPRUur02A,https://i.ytimg.com/vi/-3Oixv4JVDM/default.jpg,0,복부
-4bu50e7UP0,"일반인이 어깨 넓히는 가장 확실한 방법!?","헬린이 탈출을 위한 운동정보",UCSPUdkcss2YsJorc1oR5Z8A,https://i.ytimg.com/vi/-4bu50e7UP0/default.jpg,0,어깨
-aYxXW9zkbQ,"상중하옆 데일리 5분 복부운동! 식스팩","소미핏 SomiFit",UC2WZ-lHHSOI81g2Jp4BpsWA,https://i.ytimg.com/vi/-aYxXW9zkbQ/default.jpg,0,복부
-d-sQKDHgfE,"[여리여리 잔근육 루틴] 일자 어깨/직각 어깨/예쁜 어깨 만드는 루틴","핏블리 FITVELY",UC3hRpIQ4x5niJDwjajQSVPg,https://i.ytimg.com/vi/-d-sQKDHgfE/default.jpg,0,어깨
-DC_9_E0evA,"Hwang Chul Soon - 보디빌더 황철순 등운동 루틴(운동법 설명 포함) 2019 BACK TRAINING","MONSTERZYM 몬스터짐",UCEyXB3mjiTlZXJn_j1aKM7A,https://i.ytimg.com/vi/-DC_9_E0evA/default.jpg,0,등
-hEV_0jbFgc,"하루 단 6분! 누워서 하는 최고의 복근운동 / TOTAL AB WORKOUT 6MIN","에이핏 afit",UCRGZCFuFCwp2D_YKByrqRfw,https://i.ytimg.com/vi/-hEV_0jbFgc/default.jpg,0,복부
-IPF0TkMJ3k,"칼로리 폭파 전신운동🔥",형바디bootyfull,UCXsLZ5AI_bnfM5AkAGDOXgQ,https://i.ytimg.com/vi/-IPF0TkMJ3k/default.jpg,0,전신
-juE-tiAJBc,"🔥단시간 칼로리 태우기🔥 10분 전신근력 유산소 운동 - 짧은 아침, 저녁 운동으로하기 너무 좋아요!",빵느,UCRrZ5RYIalHLiHq5ftzxM6A,https://i.ytimg.com/vi/-juE-tiAJBc/default.jpg,0,전신
-KQVTrKuNEo,"3대 350정도 되는 사람의 등운동 루틴",가을우주,UCp0oZKLdSLEQaiX9tr4x36g,https://i.ytimg.com/vi/-KQVTrKuNEo/default.jpg,0,등
-L1vngLMKvs,"짧고 굵게 가슴 키우는 법 ⎮ 홍범석식 가슴운동 루틴","홍범석 tiger_stone.h",UCXx37HqzrwpX8pg4r93FuYg,https://i.ytimg.com/vi/-L1vngLMKvs/default.jpg,0,가슴
-LixtEkTrgQ,"눈 앞이 캄캄해지는 가슴운동","건담포스 김건우",UCjHrKAp_7ZsRVgaXBFIU0cA,https://i.ytimg.com/vi/-LixtEkTrgQ/default.jpg,0,가슴
-Lmh5HPwgs8,"덤벨 15분 전신운동 - 온몸 구석구석 섬세한 자극을 느끼게 해주는 루틴",빵느,UCRrZ5RYIalHLiHq5ftzxM6A,https://i.ytimg.com/vi/-Lmh5HPwgs8/default.jpg,0,전신
-oGon-5QZr8,"어깨운동? 해볼게요","아이언빈 윤성빈",UCtSrD8bpasASomAICsRu_gQ,https://i.ytimg.com/vi/-oGon-5QZr8/default.jpg,0,어깨
-oPgaJjbZkc,"‘어깨운동&#39; 으로 중고차딜러 죽이기 (ft.부싼카)","정대진 Jung Dae Jin",UCtnbC5PTFo4m6DdVtBpWKxg,https://i.ytimg.com/vi/-oPgaJjbZkc/default.jpg,0,어깨
-pyOe04_8Sg,"다양한 요가 자세로 즐기는 올인원 운동 홈트 (전신운동 · 근력 유산소 운동) | 100분 차크라 플로우 | 요가소년 439",요가소년,UCkTRKCuFrRiXQm_gMG1uDvg,https://i.ytimg.com/vi/-pyOe04_8Sg/default.jpg,0,전신
-QT_eiNCFmo,"어깨가 잘 안크는 사람은 필수시청",지피티,UCoHirUZkTs1nOtyJTNbNJ5g,https://i.ytimg.com/vi/-QT_eiNCFmo/default.jpg,0,어깨
-qTpETg4xzo,"개노답 혼자 운동 / 가슴 훈련",박승현,UCb2PIM0UHn-qGwXRST-Kcsw,https://i.ytimg.com/vi/-qTpETg4xzo/default.jpg,0,가슴
-RLp4en46gE,"볼록아랫배 매일 딱 5분만!! 완벽 제거 가능!!","강하나 스트레칭_stretching",UCxHcczukcG21up2MBe8yP_Q,https://i.ytimg.com/vi/-RLp4en46gE/default.jpg,0,복부
-tORPuDsOOg,"홈트밴드 대표운동 10가지 (feat.전신운동, 코어, 홈트레이닝)",힙으뜸,UC4yq3FWEWqMvFNFBsV3gbKQ,https://i.ytimg.com/vi/-tORPuDsOOg/default.jpg,0,전신
